pair,averaging_frames,tau_s,allan_variance,allan_deviation,overlapping_terms,variance_unit
"(1,2)-(7,8)",103,1.4196667352380246,146.7505440484667,12.11406389484828,120117,urad^4
"(7,1)-(8,2)",103,1.4196667352380246,25.270231834338983,5.026950550218192,120117,urad^4
"(3,1)-(8,6)",103,1.4196667352380246,234.4201703103021,15.310786077478259,120117,urad^4
"(3,2)-(8,7)",103,1.4196667352380246,234.8119659909217,15.323575496303782,120117,urad^4
"(7,2)-(8,3)",116,1.5988479736661247,23.925999599540695,4.891421020474592,120091,urad^4
"(1,3)-(6,8)",116,1.5988479736661247,186.93503811044766,13.67241888293537,120091,urad^4
"(2,3)-(7,8)",116,1.5988479736661247,181.49134053054712,13.471872198419458,120091,urad^4
"(6,1)-(8,3)",116,1.5988479736661247,90.88668705385827,9.533450951982617,120091,urad^4
"(2,2)-(8,8)",116,1.5988479736661247,127.95031891140383,11.31151267123031,120091,urad^4
"(1,2)-(7,8)",116,1.5988479736661247,132.63657990088234,11.516795556962984,120091,urad^4
"(7,1)-(8,2)",116,1.5988479736661247,22.824770773363486,4.777527684206915,120091,urad^4
"(3,1)-(8,6)",116,1.5988479736661247,211.97549831779023,14.559378363027394,120091,urad^4
"(3,2)-(8,7)",116,1.5988479736661247,212.25999662897297,14.569145363712073,120091,urad^4
"(7,2)-(8,3)",131,1.8055955564677788,21.471768699031923,4.633763988274751,120061,urad^4
"(1,3)-(6,8)",131,1.8055955564677788,167.98622740981256,12.960950096725647,120061,urad^4
"(2,3)-(7,8)",131,1.8055955564677788,163.00608261556113,12.767383546191487,120061,urad^4
"(6,1)-(8,3)",131,1.8055955564677788,81.70013029211711,9.038812438153428,120061,urad^4
"(2,2)-(8,8)",131,1.8055955564677788,114.96126351591447,10.721999044763736,120061,urad^4
"(1,2)-(7,8)",131,1.8055955564677788,119.21749254471527,10.918676318341673,120061,urad^4
"(7,1)-(8,2)",131,1.8055955564677788,20.50916787408125,4.528704878227466,120061,urad^4
"(3,1)-(8,6)",131,1.8055955564677788,190.59591100744754,13.805647793835954,120061,urad^4
"(3,2)-(8,7)",131,1.8055955564677788,190.74716099394874,13.811124537630842,120061,urad^4
"(7,2)-(8,3)",147,2.02612631145621,19.375363556911307,4.401745512511066,120029,urad^4
"(1,3)-(6,8)",147,2.02612631145621,151.543079525434,12.310283486802161,120029,urad^4
"(2,3)-(7,8)",147,2.02612631145621,146.95959415596022,12.122689229538148,120029,urad^4
"(6,1)-(8,3)",147,2.02612631145621,73.78604204636606,8.58988021140959,120029,urad^4
"(2,2)-(8,8)",147,2.02612631145621,103.66301255332539,10.18150345250275,120029,urad^4
"(1,2)-(7,8)",147,2.02612631145621,107.60504449576082,10.373285135180698,120029,urad^4
"(7,1)-(8,2)",147,2.02612631145621,18.53473691390361,4.305198823968948,120029,urad^4
"(3,1)-(8,6)",147,2.02612631145621,172.03411804907094,13.116177722533,120029,urad^4
"(3,2)-(8,7)",147,2.02612631145621,172.06665231110162,13.117417898012611,120029,urad^4
